Date,BCE
1996-06-01,
1996-07-01,3.422897904
1996-08-01,-1.639393089
1996-09-01,7.870437661
1996-10-01,6.984365964
1996-11-01,10.56046104
1996-12-01,-4.041130406
1997-01-01,4.990915042
1997-02-01,-2.137124779
1997-03-01,-4.216866261
1997-04-01,3.850016879
1997-05-01,11.16198725
1997-06-01,5.639691212
1997-07-01,10.20432485
1997-08-01,-6.197863281
1997-09-01,5.082533273
1997-10-01,-3.511321259
1997-11-01,10.31844517
1997-12-01,10.04617288
1998-01-01,-3.615922507
1998-02-01,10.7456499
1998-03-01,17.8217977
1998-04-01,3.003261317
1998-05-01,10.59116924
1998-06-01,-7.423926332
1998-07-01,-1.826656865
1998-08-01,-16.91296705
1998-09-01,-15.61262179
1998-10-01,23.30769981
1998-11-01,4.110871659
1998-12-01,6.244275488
1999-01-01,17.93001133
1999-02-01,-9.882026016
1999-03-01,9.2471855
1999-04-01,0.146095107
1999-05-01,2.105249421
1999-06-01,5.670048599
1999-07-01,5.097048082
1999-08-01,-7.261834399
1999-09-01,4.885011265
1999-10-01,21.93012747
1999-11-01,11.7381615
1999-12-01,32.47474697
2000-01-01,12.61407896
2000-02-01,7.300551229
2000-03-01,14.55693137
2000-04-01,-5.066753823
2000-05-01,-79.59183673
2000-06-01,323.1158532
2000-07-01,-2.918655742
2000-08-01,-2.366871903
2000-09-01,6.212119312
2000-10-01,18.00484334
2000-11-01,3.048792052
2000-12-01,2.485210316
2001-01-01,-0.111413331
2001-02-01,-4.889425851
2001-03-01,-13.24357174
2001-04-01,9.150816243
2001-05-01,2.500697002
2001-06-01,3.43071155
2001-07-01,1.503748612
2001-08-01,-6.585355198
2001-09-01,-9.999988362
2001-10-01,2.360081358
2001-11-01,3.941688737
2001-12-01,-1.044282259
2002-01-01,-2.376326881
2002-02-01,-3.931143905
2002-03-01,-16.42771862
2002-04-01,-0.665183367
2002-05-01,2.867544761
2002-06-01,-6.880724712
2002-07-01,1.133167977
2002-08-01,7.575754492
2002-09-01,-1.056304516
2002-10-01,-2.89636872
2002-11-01,5.555496474
2002-12-01,0
2003-01-01,2.515840025
2003-02-01,-3.943228775
2003-03-01,-2.772821687
2003-04-01,6.184686185
2003-05-01,6.278614535
2003-06-01,3.08663933
2003-07-01,1.592952269
2003-08-01,-3.903961067
2003-09-01,-2.930402616
2003-10-01,3.425384482
2003-11-01,-3.283080754
2003-12-01,0.103920365
2004-01-01,3.296774487
2004-02-01,-0.87986828
2004-03-01,-5.80404762
2004-04-01,1.039855261
2004-05-01,-1.014834093
2004-06-01,-2.233634197
2004-07-01,5.975426682
2004-08-01,-2.251603343
2004-09-01,-0.36558572
2004-10-01,4.921715134
2004-11-01,1.97947221
2004-12-01,0.242652396
2005-01-01,3.403291127
2005-02-01,-2.8387978
2005-03-01,5.217414061
2005-04-01,0.95448633
2005-05-01,-4.735042081
2005-06-01,0.799419354
2005-07-01,3.397622049
2005-08-01,4.789184692
2005-09-01,2.510485451
2005-10-01,-7.505212933
2005-11-01,-5.246921735
2005-12-01,0.868642762
2006-01-01,-0.080332245
2006-02-01,0.399873531
2006-03-01,1.846452549
2006-04-01,-0.928268328
2006-05-01,-3.629763342
2006-06-01,-0.640278447
2006-07-01,-0.981061686
2006-08-01,6.819080953
2006-09-01,9.974567904
2006-10-01,5.686400455
2006-11-01,-11.5142221
2006-12-01,11.94299772
2007-01-01,-0.381067447
2007-02-01,-0.775690639
2007-03-01,6.351737517
2007-04-01,15.89280504
2007-05-01,5.563008434
2007-06-01,2.204203117
2007-07-01,0.78086167
2007-08-01,0.273077217
2007-09-01,-1.213153298
2007-10-01,4.315290577
2007-11-01,-4.703007705
2007-12-01,0.864936942
2008-01-01,-11.13321043
2008-02-01,2.176968169
2008-03-01,-2.579188427
2008-04-01,6.908922922
2008-05-01,-4.755453322
2008-06-01,1.426536788
2008-07-01,9.535833314
2008-08-01,3.312814748
2008-09-01,-8.774527459
2008-10-01,-4.550435775
2008-11-01,-28.7753402
2008-12-01,0.721463547
2009-01-01,1.531701149
2009-02-01,-1.115132404
2009-03-01,1.16799504
2009-04-01,3.142174974
2009-05-01,-2.195230631
2009-06-01,-3.80760322
2009-07-01,4.653298469
2009-08-01,8.774799622
2009-09-01,-1.895934575
2009-10-01,-0.416232037
2009-11-01,7.840889619
2009-12-01,3.868193096
2010-01-01,-3.906517283
2010-02-01,6.297820297
2010-03-01,2.2259669
2010-04-01,3.685650127
2010-05-01,0.589768642
2010-06-01,1.172577673
2010-07-01,2.65155897
2010-08-01,6.104911606
2010-09-01,0.329643263
2010-10-01,3.618910985
2010-11-01,1.461611739
2010-12-01,1.815013415
2011-01-01,4.237312049
2011-02-01,-0.962277452
2011-03-01,-2.221024816
2011-04-01,2.101773758
2011-05-01,9.983063307
2011-06-01,-3.02561476
2011-07-01,-2.2735976
2011-08-01,8.008808739
2011-09-01,-0.228561067
2011-10-01,1.929966617
2011-11-01,1.240176427
2011-12-01,6.174997362
2012-01-01,-2.518209675
2012-02-01,-0.831667748
2012-03-01,-1.480060669
2012-04-01,1.523262241
2012-05-01,2.998504665
2012-06-01,1.84379614
2012-07-01,2.997161432
2012-08-01,2.671040573
2012-09-01,-1.300805218
2012-10-01,2.259425926
2012-11-01,-3.664661612
2012-12-01,1.355187805
2013-01-01,5.333881979
