Date,BLDP
1996-04-01,
1996-05-01,0.757572727
1996-06-01,-11.12781688
1996-07-01,-3.553299492
1996-08-01,8.771926316
1996-09-01,-2.09676781
1996-10-01,-12.02636204
1996-11-01,-3.370786517
1996-12-01,7.170546512
1997-01-01,17.17901927
1997-02-01,6.481481481
1997-03-01,-1.449278261
1997-04-01,11.47058857
1997-05-01,10.02638813
1997-06-01,10.3117482
1997-07-01,-3.804345735
1997-08-01,4.06779661
1997-09-01,19.43538762
1997-10-01,43.63636681
1997-11-01,-6.012653469
1997-12-01,46.80134141
1998-01-01,-5.596329563
1998-02-01,24.87852259
1998-03-01,25.0583681
1998-04-01,1.897945263
1998-05-01,-10.22900544
1998-06-01,-2.551020408
1998-07-01,-20.41884817
1998-08-01,-30.92105263
1998-09-01,32.19048
1998-10-01,23.63112612
1998-11-01,29.25407556
1998-12-01,-24.25608793
1999-01-01,-21.42857143
1999-02-01,23.63636061
1999-03-01,13.84804446
1999-04-01,21.09795218
1999-05-01,-11.46666844
1999-06-01,-5.923696906
1999-07-01,1.067235905
1999-08-01,-3.907070915
1999-09-01,-6.813182418
1999-10-01,-3.183969189
1999-11-01,-5.968333885
1999-12-01,5.569953656
2000-01-01,128.2208589
2000-02-01,77.41935484
2000-03-01,-32.72727273
2000-04-01,10.36036036
2000-05-01,-9.061222857
2000-06-01,20.28725098
2000-07-01,-2.313437313
2000-08-01,14.09473861
2000-09-01,10.51221719
2000-10-01,-0.636172663
2000-11-01,-35.97560976
2000-12-01,-10
2001-01-01,21.69312169
2001-02-01,-37.83478435
2001-03-01,-12.15554517
2001-04-01,30.28662628
2001-05-01,1.442190174
2001-06-01,-13.30120602
2001-07-01,-14.95274896
2001-08-01,-52.45098117
2001-09-01,6.426113402
2001-10-01,38.52116043
2001-11-01,2.820510358
2001-12-01,6.914529428
2002-01-01,4.877012299
2002-02-01,-14.6178713
2002-03-01,14.44471229
2002-04-01,-18.89095928
2002-05-01,-16.60714754
2002-06-01,-24.19699676
2002-07-01,-24.61662935
2002-08-01,17.23768737
2002-09-01,-33.10502283
2002-10-01,17.40615017
2002-11-01,34.8837189
2002-12-01,-24.69828342
2003-01-01,-7.842009607
2003-02-01,-4.720496894
2003-03-01,-8.800521512
2003-04-01,6.147248034
2003-05-01,22.82828283
2003-06-01,0.767538377
2003-07-01,-0.544058789
2003-08-01,-2.352302935
2003-09-01,-0.56022409
2003-10-01,-2.816901408
2003-11-01,-9.565217391
2003-12-01,-1.730769231
2004-01-01,-1.89171559
2004-02-01,-7.04787234
2004-03-01,-9.084406295
2004-04-01,11.72305271
2004-05-01,-8.802816901
2004-06-01,-4.864864865
2004-07-01,-24.18831169
2004-08-01,-8.993576017
2004-09-01,9.882352941
2004-10-01,4.175588865
2004-11-01,-18.70503597
2004-12-01,3.160556258
2005-01-01,-6.37254902
2005-02-01,-3.664921466
2005-03-01,-16.30434783
2005-04-01,-20.61688312
2005-05-01,-8.1799591
2005-06-01,26.94877506
2005-07-01,6.666666667
2005-08-01,9.703947368
2005-09-01,-2.548725637
2005-10-01,-11.07692308
2005-11-01,-10.55363322
2005-12-01,-4.835589942
2006-01-01,30.69105691
2006-02-01,8.087091757
2006-03-01,12.94964029
2006-04-01,37.57961783
2006-05-01,-27.03703704
2006-06-01,-17.76649746
2006-07-01,7.098765432
2006-08-01,-2.305475504
2006-09-01,-5.604719764
2006-10-01,23.125
2006-11-01,5.203045685
2006-12-01,-19.66224367
2007-01-01,-1.951951952
2007-02-01,8.269525268
2007-03-01,-9.900990099
2007-04-01,-13.02982732
2007-05-01,-11.37184116
2007-06-01,15.68228106
2007-07-01,-10.91549296
2007-08-01,-6.52173913
2007-09-01,3.594080338
2007-10-01,-0.816326531
2007-11-01,-7.407407407
2007-12-01,16
2008-01-01,-12.2605364
2008-02-01,-3.493449782
2008-03-01,-3.846153846
2008-04-01,0
2008-05-01,0
2008-06-01,-7.058823529
2008-07-01,5.063291139
2008-08-01,18.55421687
2008-09-01,-19.71544715
2008-10-01,-15.94936709
2008-11-01,-19.27710843
2008-12-01,-50
2009-01-01,14.17910448
2009-02-01,-3.267973856
2009-03-01,33.10810811
2009-04-01,24.36548223
2009-05-01,-16.32653061
2009-06-01,0.975609756
2009-07-01,-3.381642512
2009-08-01,-5.5
2009-09-01,53.43915344
2009-10-01,-18.96551724
2009-11-01,1.276595745
2009-12-01,-16.38655462
2010-01-01,18.59296482
2010-02-01,-0.847457627
2010-03-01,15.81196581
2010-04-01,-11.0701107
2010-05-01,-14.10788382
