Date,RY
1995-02-01,
1995-03-01,0
1995-04-01,3.930451791
1995-05-01,2.222147762
1995-06-01,1.652938187
1995-07-01,-4.878045469
1995-08-01,3.154981846
1995-09-01,-1.271740646
1995-10-01,1.694943759
1995-11-01,5.236296759
1995-12-01,-0.383966517
1996-01-01,6.424645176
1996-02-01,-4.377077551
1996-03-01,1.561433254
1996-04-01,1.192413251
1996-05-01,1.657952838
1996-06-01,0.152887474
1996-07-01,1.526726039
1996-08-01,4.333493136
1996-09-01,12.95484875
1996-10-01,14.17531657
1996-11-01,13.42087201
1996-12-01,-3.510466841
1997-01-01,3.534240099
1997-02-01,11.56359767
1997-03-01,-2.629183047
1997-04-01,4.003741571
1997-05-01,7.82815064
1997-06-01,4.598640872
1997-07-01,5.755378122
1997-08-01,-0.940190441
1997-09-01,4.220944495
1997-10-01,10.97203955
1997-11-01,1.666065481
1997-12-01,-0.787356563
1998-01-01,0.992015934
1998-02-01,9.718501336
1998-03-01,1.020396962
1998-04-01,1.485417773
1998-05-01,4.715263885
1998-06-01,-0.56176135
1998-07-01,-7.344608796
1998-08-01,-27.48837484
1998-09-01,4.649204733
1998-10-01,14.86271306
1998-11-01,6.936600576
1998-12-01,1.390751552
1999-01-01,2.02480289
1999-02-01,-5.976318929
1999-03-01,-3.082176687
1999-04-01,0.49472374
1999-05-01,-2.937084958
1999-06-01,-5.24782899
1999-07-01,0.384678131
1999-08-01,-1.616467784
1999-09-01,-4.470592074
1999-10-01,4.187175818
1999-11-01,5.617517082
1999-12-01,-4.511319246
2000-01-01,-7.00791129
2000-02-01,6.40470986
2000-03-01,9.236982719
2000-04-01,2.794098949
2000-05-01,12.20923459
2000-06-01,-2.697539612
2000-07-01,4.686462243
2000-08-01,9.487923566
2000-09-01,3.772545159
2000-10-01,8.053616148
2000-11-01,-4.798372771
2000-12-01,11.39100337
2001-01-01,-5.211357973
2001-02-01,-2.156342967
2001-03-01,0.70441676
2001-04-01,-8.965677907
2001-05-01,14.79674058
2001-06-01,-0.756000297
2001-07-01,4.920727027
2001-08-01,-1.960177081
2001-09-01,-2.942949614
2001-10-01,-2.803765121
2001-11-01,6.018891505
2001-12-01,5.259976066
2002-01-01,-3.53081089
2002-02-01,2.151269764
2002-03-01,4.910286515
2002-04-01,3.327050037
2002-05-01,7.320337218
2002-06-01,-10.4095491
2002-07-01,1.809519806
2002-08-01,5.577268713
2002-09-01,-5.892887568
2002-10-01,3.244751043
2002-11-01,8.36601557
2002-12-01,-1.195526334
2003-01-01,-4.407949647
2003-02-01,5.79530189
